,czone_x,statefip,yr,t2,timepwt24,d_impusch_p9,d_impuschm_p9cen,d_impuschf_p9cen,d_impotch_p9_lag,czone_y,d_avg_lnwkwage,d_avg_lnwkwage_m,d_avg_lnwkwage_f
38,1301.0,45,1990.0,0.0,0.00027229384,1.4136138,0.8022792,0.61133456,2.8326485,1301.0,18.957472,15.905809,21.187449
39,1301.0,45,2000.0,1.0,0.00036156623,3.845701,1.655191,2.1905098,4.7268243,1301.0,-0.8350781,-3.582818,2.8033257
40,1302.0,45,1990.0,0.0,0.0018780258,0.8951518,0.48629412,0.4088577,1.3552978,1302.0,15.629101,12.878895,19.805574
41,1302.0,45,2000.0,1.0,0.0027473113,1.6722811,0.7349181,0.93736315,2.0881732,1302.0,3.9572716,2.160413,6.092412
42,1400.0,37,1990.0,0.0,0.0022817752,1.4394313,0.78836054,0.6510708,2.4478056,1400.0,16.301823,15.731573,18.72859
43,1400.0,37,2000.0,1.0,0.0032044752,2.7402906,1.3402826,1.4000082,3.6546044,1400.0,4.4804983,5.9827394,3.6849294
44,1500.0,37,1990.0,0.0,0.001125144,0.4312539,0.2670716,0.1641823,1.153064,1500.0,14.683104,11.46369,18.644857
45,1500.0,37,2000.0,1.0,0.0018065067,1.2027342,0.45853755,0.7441967,1.3286588,1500.0,4.4037957,-0.29018947,12.126309
46,1600.0,37,1990.0,0.0,0.0008061167,1.6677588,0.84932166,0.81843716,1.7513102,1600.0,15.803337,12.092352,21.246004
47,1600.0,37,2000.0,1.0,0.0010910511,2.5328999,1.0464351,1.4864649,2.481674,1600.0,-2.8555734,-8.668423,3.509385
48,1701.0,37,1990.0,0.0,0.0041768686,1.9518263,1.1743681,0.7774582,1.1364123,1701.0,19.78798,15.874863,23.432207
49,1701.0,37,2000.0,1.0,0.0070537496,2.0707693,1.1723529,0.89841634,2.4831896,1701.0,3.5540037,0.54843086,7.4111395
50,1702.0,37,1990.0,0.0,0.00022647367,0.9589573,0.4955166,0.46344078,1.4592326,1702.0,17.943382,13.546038,23.145151
51,1702.0,37,2000.0,1.0,0.00031164224,2.2569704,0.8229214,1.4340489,2.3342357,1702.0,-0.32452175,-1.1707033,-0.2659389
52,1800.0,37,1990.0,0.0,0.000776573,0.9603386,0.4618216,0.498517,2.112456,1800.0,13.685942,9.991169,19.28749
53,1800.0,37,2000.0,1.0,0.0010990323,2.2963486,0.9738013,1.3225474,2.997076,1800.0,-3.0811174,-2.978461,-3.3968515
54,1900.0,37,1990.0,0.0,0.0019522052,0.49540666,0.21612139,0.27928528,1.1213828,1900.0,13.497734,11.268425,20.859003
55,1900.0,37,2000.0,1.0,0.0026918855,1.3518006,0.5561522,0.79564834,1.2781954,1900.0,6.618704,6.3341007,7.5564384
56,2000.0,51,1990.0,0.0,0.004243899,0.31046948,0.15458807,0.1558814,0.46736616,2000.0,12.017202,13.020086,14.785576
57,2000.0,51,2000.0,1.0,0.005618766,0.43040657,0.22450262,0.20590399,0.7084045,2000.0,13.471945,14.579296,14.16581
58,2100.0,37,1990.0,0.0,0.00046057344,1.1302212,0.610079,0.5201422,2.1098506,2100.0,17.155266,14.049196,22.787094
59,2100.0,37,2000.0,1.0,0.00062759005,2.0301487,0.8892243,1.1409243,3.214484,2100.0,5.3824015,4.900251,7.3134556
60,2200.0,51,1990.0,0.0,0.00059389364,2.2586598,1.0475215,1.2111385,2.100366,2200.0,18.539143,15.236187,24.125576
61,2200.0,51,2000.0,1.0,0.00079068774,2.6512995,1.0674155,1.5838841,2.556548,2200.0,-0.29434475,-3.9698057,4.3170114
62,2300.0,51,1990.0,0.0,0.0008304459,1.1649768,0.72843504,0.43654191,1.1614019,2300.0,13.79323,9.926367,19.941902
63,2300.0,51,2000.0,1.0,0.0011384764,3.5029504,1.7743105,1.72864,2.9638793,2300.0,-0.22050312,-2.1204267,5.3676195
64,2400.0,51,1990.0,0.0,0.003652793,1.1030504,0.61885214,0.48419824,0.42557517,2400.0,12.430048,10.455418,15.780354
65,2400.0,51,2000.0,1.0,0.0052026175,0.49779558,0.27068818,0.2271074,0.87494504,2400.0,6.406307,1.933234,11.249133
66,2500.0,51,1990.0,0.0,0.0020520203,0.30672166,0.16843946,0.1382822,0.44665653,2500.0,10.413551,9.308386,15.735626
67,2500.0,51,2000.0,1.0,0.0028572204,0.31324023,0.1892113,0.12402893,1.3088101,2500.0,10.99423,9.557111,12.885162
68,2600.0,37,1990.0,0.0,0.00053831463,0.50573486,0.25879475,0.24694014,1.6509042,2600.0,16.617775,14.666128,20.456743
69,2600.0,37,2000.0,1.0,0.00069890486,1.9636542,0.8539173,1.1097369,1.8289287,2600.0,-6.394454,-8.786815,-3.62948
70,2700.0,28,1990.0,0.0,0.0015835713,0.31920674,0.22345795,0.095748775,0.80101985,2700.0,14.335251,10.464859,23.332214
71,2700.0,28,2000.0,1.0,0.0022788488,0.571564,0.29339734,0.27816668,1.5883151,2700.0,8.221626,11.185714,5.374772
72,2800.0,28,1990.0,0.0,0.00045699137,1.3844478,0.65824693,0.72620094,2.1122596,2800.0,14.363241,11.399651,19.473839
73,2800.0,28,2000.0,1.0,0.0006045567,2.3573835,1.0413727,1.3160108,3.1833966,2800.0,9.078707,10.925089,6.7975864
74,2900.0,28,1990.0,0.0,0.00056911685,0.60237783,0.22697532,0.37540257,1.2552441,2900.0,13.347435,11.451054,16.787434
